"","stop_name","stop_lat","stop_lon","stop_area"
"265","Järve",59.3999773151642,24.7280251904132,"Kesklinn"
"266","Virve",59.39767196357,24.7260915068526,"Kesklinn"
"288","Tallinn-Väike",59.4149472481577,24.7399171726917,"Kesklinn"
"289","Tallinn-Väike",59.4134119270235,24.7367667817387,"Kesklinn"
"290","Kalev",59.4096782025705,24.7366500124003,"Kesklinn"
"291","Kalev",59.4098174431891,24.7360610962298,"Kesklinn"
"292","Kalev",59.4092080019716,24.7356537828764,"Kesklinn"
"293","Hallivanamehe",59.4060814058361,24.7329102118884,"Kesklinn"
"294","Hallivanamehe",59.4056373200992,24.7320555547107,"Kesklinn"
"295","Tondi",59.4111605370696,24.7340440750505,"Kesklinn"
"296","Tondi",59.4112096736406,24.7341513634111,"Kesklinn"
"297","Tallinn-Väike",59.4144361524441,24.7394299507527,"Kesklinn"
"298","Tallinn-Väike",59.4154430005361,24.7395569462831,"Kesklinn"
"299","Tallinn-Väike",59.4141927026178,24.738406066561,"Kesklinn"
"300","Tallinn-Väike",59.4133463426884,24.7483886788611,"Kesklinn"
"301","Auru",59.4127750264694,24.7525488335377,"Kesklinn"
"302","Luite",59.4148606183233,24.7551671780014,"Kesklinn"
"433","Linnahall",59.4433733614951,24.7500944137965,"Kesklinn"
"434","Linnahall",59.4434388145863,24.7500085831081,"Kesklinn"
"436","Reisisadam",59.4444433924475,24.759138396751,"Kesklinn"
"437","Reisisadam D-terminal",59.4428254583989,24.7649334518117,"Kesklinn"
"438","F. R. Kreutzwaldi",59.4383041731565,24.7698054977696,"Kesklinn"
"440","Tallinna ülikool",59.438496749997,24.7715520859168,"Kesklinn"
"441","Tallinna ülikool",59.4384294238849,24.7714121120469,"Kesklinn"
"444","Hotell Tallinn",59.4349139240722,24.7314889061208,"Kesklinn"
"445","Tehnika",59.4346029806771,24.7260370537313,"Kesklinn"
"446","Tehnika",59.433736260188,24.7236749733783,"Kesklinn"
"448","Endla",59.429339279704,24.7250079204524,"Kesklinn"
"449","Koidu",59.429188803009,24.7294976230617,"Kesklinn"
"450","Tõnismägi",59.430219254756,24.7362856019904,"Kesklinn"
"451","Koidu",59.4288000908431,24.731603606059,"Kesklinn"
"452","Virmalise",59.4213004371333,24.7371492961992,"Kesklinn"
"453","Lilleküla jaam",59.42606456318,24.7279323408217,"Kesklinn"
"454","Lilleküla jaam",59.4250040617554,24.7297771606191,"Kesklinn"
"459","Vineeri",59.4228040227491,24.7459192326094,"Kesklinn"
"460","Vana-Lõuna",59.4202267043501,24.7405257610338,"Kesklinn"
"461","Veerenni",59.4249214771921,24.747691916142,"Kesklinn"
"462","Vana-Lõuna",59.421636079051,24.7445021322705,"Kesklinn"
"463","Vana-Lõuna",59.4216437351262,24.7439419105144,"Kesklinn"
"464","Gonsiori",59.4343476341581,24.7678836722563,"Kesklinn"
"465","Gonsiori",59.4339764661968,24.7699547017643,"Kesklinn"
"466","Laulupeo",59.4331497163182,24.7777412403337,"Kesklinn"
"467","Laulupeo",59.43307268061,24.7771051184371,"Kesklinn"
"468","Autobussijaam",59.426794393849,24.7731183110648,"Kesklinn"
"469","Autobussijaam",59.427961945668,24.7753129253757,"Kesklinn"
"470","Autobussijaam",59.4285231456464,24.7762727737832,"Kesklinn"
"472","Autobussijaam",59.4287690881521,24.775444660247,"Kesklinn"
"473","Lubja",59.4273662791993,24.7788262367655,"Kesklinn"
"474","Keskturg",59.4304294362616,24.7716885368828,"Kesklinn"
"475","Keskturg",59.4313583593049,24.769418857168,"Kesklinn"
"476","Keskturg",59.4309689034535,24.7700091762249,"Kesklinn"
